total_rounds_played,balance,kills_total,deaths_total,assists_total,damage_total,current_equip_value,team_rounds_total,team_clan_name,tick,steamid,name
17,1700,13,11,2,1341,5800,10,3DMAX,147410,76561198179538505,Graviti
17,600,15,11,3,1698,5100,7,Team Vitality,147410,76561197973140692,mezii
17,0,13,10,3,1524,5100,7,Team Vitality,147410,76561198113666193,ZywOo
17,2400,5,15,3,676,5400,10,3DMAX,147410,76561198047876970,Djoko
17,550,12,13,1,1044,5100,7,Team Vitality,147410,76561197989744167,apEX
17,300,8,13,5,1393,5000,7,Team Vitality,147410,76561197978835160,flameZ
17,1100,10,11,3,1102,7550,10,3DMAX,147410,76561198045739761,Maka
17,100,7,13,3,1107,4900,7,Team Vitality,147410,76561197991272318,ropz
17,1600,19,10,5,1881,5800,10,3DMAX,147410,76561198168198200,Ex3rcice
18,1050,13,9,8,1523,5400,11,3DMAX,156370,76561198031890115,Lucky
18,50,13,12,2,1362,5100,11,3DMAX,156370,76561198179538505,Graviti
18,2050,16,12,3,1859,1750,7,Team Vitality,156370,76561197973140692,mezii
18,1550,14,11,3,1606,1650,7,Team Vitality,156370,76561198113666193,ZywOo
18,450,5,16,3,715,5200,11,3DMAX,156370,76561198047876970,Djoko
18,1450,12,14,1,1071,2000,7,Team Vitality,156370,76561197989744167,apEX
18,2300,8,14,5,1401,500,7,Team Vitality,156370,76561197978835160,flameZ
18,1450,13,11,3,1235,5700,11,3DMAX,156370,76561198045739761,Maka
18,700,9,13,3,1307,4300,7,Team Vitality,156370,76561197991272318,ropz
18,50,20,11,5,2014,5100,11,3DMAX,156370,76561198168198200,Ex3rcice
19,0,13,10,8,1575,2450,11,3DMAX,165741,76561198031890115,Lucky
19,0,14,13,2,1406,1750,11,3DMAX,165741,76561198179538505,Graviti
19,950,17,13,3,1923,5100,8,Team Vitality,165741,76561197973140692,mezii
19,1050,16,11,3,1796,5600,8,Team Vitality,165741,76561198113666193,ZywOo
19,0,5,17,3,715,1450,11,3DMAX,165741,76561198047876970,Djoko
